#System  Energy (eV)   Fermi_energy(eV)  E_VBM (eV)	E_CBM (eV)
Bulk_SiC -119.43582478 8.0349		  7.8568	9.1654
V_C      -107.27475026 8.9065		  8.8311	9.0569
V_C-1	-97.51453658	10.5072		8.9480		10.5072
V_C+1	-115.64195933  8.0301		7.6641		8.0301	
V_C-2	-87.03588502	10.5016		10.4940		10.8629
V_C+2	-123.30722120	7.2474		7.1120		7.4418
